model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,backend,fit_seconds
Logistic Regression,0.53,0.7099992933275905,0.6329333000580667,0.6691572684842051,0.3821825455623055,0.6155525857337184,0.47157496366312285,0.2645040210718814,182248,83393,32219,51587,logistic_regression,2513.501235799995
Logistic Regression,0.54,0.7099992933275905,0.6329333000580667,0.6769753353155128,0.3872611366174463,0.5958403932892633,0.46942420681551117,0.2640550852549266,186632,79009,33871,49935,logistic_regression,2513.501235799995
Logistic Regression,0.55,0.7099992933275905,0.6329333000580667,0.6841724209966032,0.3921076364345431,0.5758656898074124,0.4665445388062082,0.26298897248613456,190821,74820,35545,48261,logistic_regression,2513.501235799995
Logistic Regression,0.56,0.7099992933275905,0.6329333000580667,0.6908773004203785,0.3969216100251992,0.5563324821611818,0.46329805733591695,0.26181126918761644,194801,70840,37182,46624,logistic_regression,2513.501235799995
Logistic Regression,0.57,0.7099992933275905,0.6329333000580667,0.6973961716655173,0.4018082535135619,0.5355941102069064,0.45915423801632604,0.26005483588951694,198817,66824,38920,44886,logistic_regression,2513.501235799995
Logistic Regression,0.58,0.7099992933275905,0.6329333000580667,0.7033455717175995,0.4062361306527918,0.5133284013077822,0.4535462955641654,0.25700002809896083,202762,62879,40786,43020,logistic_regression,2513.501235799995
Logistic Regression,0.59,0.7099992933275905,0.6329333000580667,0.7094638099625981,0.41144901610017887,0.49125360952676417,0.4478236986517428,0.2546077213422009,206750,58891,42636,41170,logistic_regression,2513.501235799995
Logistic Regression,0.6,0.7099992933275905,0.6329333000580667,0.7156936531147785,0.41766774719803385,0.4704555759730807,0.44249287333617654,0.25339779721072625,210670,54971,44379,39427,logistic_regression,2513.501235799995
Logistic Regression,0.61,0.7099992933275905,0.6329333000580667,0.7211050602809582,0.4228687644765832,0.44657900388993627,0.4344005896315383,0.2496685944781562,214562,51079,46380,37426,logistic_regression,2513.501235799995
Logistic Regression,0.62,0.7099992933275905,0.6329333000580667,0.726021399525536,0.42812232754778795,0.424122377872706,0.4261129659711441,0.24618055070604444,218162,47479,48262,35544,logistic_regression,2513.501235799995
Logistic Regression,0.63,0.7099992933275905,0.6329333000580667,0.7301565044198405,0.43294725269105877,0.4040999451113285,0.41802651393586293,0.24290079732875083,221285,44356,49940,33866,logistic_regression,2513.501235799995
Logistic Regression,0.64,0.7099992933275905,0.6329333000580667,0.7340140278783335,0.437792596624932,0.3838507982722001,0.4090510280635276,0.23924733620965477,224330,41311,51637,32169,logistic_regression,2513.501235799995
Logistic Regression,0.65,0.7099992933275905,0.6329333000580667,0.7383608959298549,0.4441988141424493,0.3620385175285779,0.3989323586065439,0.23593132716121148,227677,37964,53465,30341,logistic_regression,2513.501235799995
Logistic Regression,0.66,0.7099992933275905,0.6329333000580667,0.7424015659026977,0.45079928389233037,0.3395222299119395,0.38732686744937894,0.23199286064563196,230976,34665,55352,28454,logistic_regression,2513.501235799995
Logistic Regression,0.67,0.7099992933275905,0.6329333000580667,0.7460272945539667,0.4575140932215042,0.3176383552490275,0.37495598281569126,0.22787292606803425,234077,31564,57186,26620,logistic_regression,2513.501235799995
Logistic Regression,0.68,0.7099992933275905,0.6329333000580667,0.7493954734194312,0.46473704903300694,0.2961959764217359,0.3618012082874821,0.22374962624475037,237051,28590,58983,24823,logistic_regression,2513.501235799995
Logistic Regression,0.69,0.7099992933275905,0.6329333000580667,0.7521083311632379,0.4712411499459305,0.2755888599861585,0.3477868044000392,0.2189078562670162,239726,25915,60710,23096,logistic_regression,2513.501235799995
Logistic Regression,0.7,0.7099992933275905,0.6329333000580667,0.7541258044853726,0.47673036280380415,0.2583943870367277,0.3351388996363074,0.21446737260526455,241872,23769,62151,21655,logistic_regression,2513.501235799995
Logistic Regression,0.71,0.7099992933275905,0.6329333000580667,0.7556339015644719,0.48082267926625905,0.23739350404505644,0.317854660776623,0.20685428250211196,244159,21482,63911,19895,logistic_regression,2513.501235799995
Logistic Regression,0.72,0.7099992933275905,0.6329333000580667,0.7572020935935921,0.48621394262664863,0.21862396487125027,0.30162401534295286,0.200621656894189,246280,19361,65484,18322,logistic_regression,2513.501235799995
Logistic Regression,0.73,0.7099992933275905,0.6329333000580667,0.7584755342011807,0.4912569914630556,0.19912655418466457,0.28338540959108816,0.19323299757272608,248359,17282,67118,16688,logistic_regression,2513.501235799995
Logistic Regression,0.74,0.7099992933275905,0.6329333000580667,0.7600351412374409,0.4991876388474419,0.17964107581796052,0.26420392225683326,0.18669014841029616,250537,15104,68751,15055,logistic_regression,2513.501235799995
Logistic Regression,0.75,0.7099992933275905,0.6329333000580667,0.7608764705377353,0.504493928610734,0.16409326301219482,0.24763877008958718,0.18030179105484492,252134,13507,70054,13752,logistic_regression,2513.501235799995
Logistic Regression,0.76,0.7099992933275905,0.6329333000580667,0.7616176415879947,0.5105342362678705,0.14572942271436412,0.22673770978761326,0.17187251489501343,253932,11709,71593,12213,logistic_regression,2513.501235799995
Logistic Regression,0.77,0.7099992933275905,0.6329333000580667,0.7622844093667995,0.5174619722314363,0.13030093310741475,0.20818042303329554,0.16484722134635482,255458,10183,72886,10920,logistic_regression,2513.501235799995
Logistic Regression,0.78,0.7099992933275905,0.6329333000580667,0.7625333741597439,0.5223161087639475,0.11506336061857146,0.18858293894473344,0.15625602245006032,256822,8819,74163,9643,logistic_regression,2513.501235799995
Logistic Regression,0.79,0.7099992933275905,0.6329333000580667,0.7629397304884574,0.529212531752752,0.10440779896427463,0.17440701614510665,0.15104284470545218,257857,7784,75056,8750,logistic_regression,2513.501235799995
Logistic Regression,0.8,0.7099992933275905,0.6329333000580667,0.7628681888812896,0.5324326187357827,0.09216523876572083,0.15713079653758913,0.14262237779114753,258858,6783,76082,7724,logistic_regression,2513.501235799995
HistGradientBoosting,0.05,0.7191136735615594,0.49343874205445426,0.3278923556361909,0.2615665328181428,0.9886881607522134,0.4136880838380157,0.15855813704169597,31723,233918,948,82858,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.06,0.7191136735615594,0.49343874205445426,0.3484963385005451,0.2668591950111174,0.9824236928143569,0.4197108571312052,0.17385542315237232,39448,226193,1473,82333,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.07,0.7191136735615594,0.49343874205445426,0.3703623153153411,0.27271756504676825,0.9751688423263251,0.42623378316709043,0.18901702645127594,47697,217944,2081,81725,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.08,0.7191136735615594,0.49343874205445426,0.3916960225728079,0.27855359194315077,0.9663389256139179,0.43245047257969776,0.20184256596968744,55892,209749,2821,80985,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.09,0.7191136735615594,0.49343874205445426,0.4099334090720481,0.28365522288332434,0.9573896857026943,0.4376450566863121,0.2115770481295244,63015,202626,3571,80235,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.1,0.7191136735615594,0.49343874205445426,0.4283625270784983,0.28887521257961496,0.9465432069302914,0.44265629490330877,0.22004649568022727,70364,195277,4480,79326,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.11,0.7191136735615594,0.49343874205445426,0.4475871877566555,0.29460300029709635,0.934742142567358,0.4480073660401529,0.22888793808152955,78071,187570,5469,78337,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.12,0.7191136735615594,0.49343874205445426,0.4652551030628393,0.2999374919923748,0.9218194401355512,0.4526075583013302,0.23572094671409616,85328,180313,6552,77254,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.13,0.7191136735615594,0.49343874205445426,0.4816553010900079,0.30497266795979544,0.9080256783523852,0.4565925659256593,0.24111316795637117,92215,173426,7708,76098,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.14,0.7191136735615594,0.49343874205445426,0.49888252009603745,0.31055488240078344,0.893014819941293,0.46084595158777564,0.24692569296094072,99493,166148,8966,74840,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.15,0.7191136735615594,0.49343874205445426,0.5169396217452146,0.3165157023080709,0.8747822351621602,0.46484142181416993,0.25183271967497745,107331,158310,10494,73312,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.16,0.7191136735615594,0.49343874205445426,0.5329220167865227,0.32216803041906833,0.8583394983652721,0.46849264215027014,0.25655452765117565,114294,151347,11872,71934,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.17,0.7191136735615594,0.49343874205445426,0.5508274502285039,0.32880277075727793,0.8382693363243682,0.4723363342365178,0.261403870511513,122233,143408,13554,70252,hist_gradient_boosting,27.134213800003636
