model,model_family,run_label,eval_scope,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,fit_seconds,train_rows,eval_rows
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.35,0.7171189285436677,0.6251710758569549,0.45557,0.29669082802717817,0.926778417146193,0.4494868294655948,0.23016689674921337,23331,52687,1756,22226,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.36,0.7171189285436677,0.6251710758569549,0.46499,0.2996565812870736,0.9205237261279293,0.4521315269372165,0.23442123723753816,24423,51595,1906,22076,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.37,0.7171189285436677,0.6251710758569549,0.4738,0.30239843232501656,0.9137269618880828,0.4544097215021878,0.23775764230509638,25467,50551,2069,21913,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.38,0.7171189285436677,0.6251710758569549,0.49101,0.3078866604810506,0.899382870486198,0.4587343279772855,0.24383213118503302,27532,48486,2413,21569,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.39,0.7171189285436677,0.6251710758569549,0.50701,0.3131503978035928,0.8846217996830956,0.46255818770508783,0.2489104316116645,29486,46532,2767,21215,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.4,0.7171189285436677,0.6251710758569549,0.51666,0.3165270327285878,0.8759069301976482,0.46501228610010403,0.2523471299136998,30660,45358,2976,21006,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.41,0.7171189285436677,0.6251710758569549,0.52667,0.3198364323740452,0.8642732049036778,0.466892675729555,0.2542974689828393,31940,44078,3255,20727,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.42,0.7171189285436677,0.6251710758569549,0.53765,0.3236883388530591,0.8517638228671504,0.4691063165267715,0.25689988142531817,33338,42680,3555,20427,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.43,0.7171189285436677,0.6251710758569549,0.54991,0.32825287919627544,0.8378784088066049,0.47170675023768444,0.2602015474530044,34897,41121,3888,20094,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.44,0.7171189285436677,0.6251710758569549,0.56121,0.33271678633283447,0.8250771411892253,0.47420703869243763,0.26355390037377086,36334,39684,4195,19787,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.45,0.7171189285436677,0.6251710758569549,0.57023,0.33605496193747736,0.8117754982903844,0.475333585633538,0.2644882470098048,37555,38463,4514,19468,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.46,0.7171189285436677,0.6251710758569549,0.58066,0.34023921401110635,0.7970978233675257,0.4769104108973879,0.26632127576010395,38950,37068,4866,19116,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.47,0.7171189285436677,0.6251710758569549,0.58933,0.3438499643555669,0.7843799516303894,0.478110028085247,0.2677709361555256,40122,35896,5171,18811,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.48,0.7171189285436677,0.6251710758569549,0.60377,0.34998945006042237,0.7608206154615962,0.4794324377586547,0.26927653881053704,42131,33887,5736,18246,3.9243455000105314,100000,100000
