model,model_family,run_label,eval_scope,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,fit_seconds,train_rows,eval_rows
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.17,0.7177052955900657,0.6222118111793129,0.3399227922975444,0.26461914256589114,0.9850010739087893,0.4171669698807358,0.16750271042449447,36236,229405,1257,82549,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.18,0.7177052955900657,0.6222118111793129,0.35025912370116213,0.2673416882686573,0.9820179939383815,0.42027024266688456,0.17530296809982543,40098,225543,1507,82299,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.19,0.7177052955900657,0.6222118111793129,0.3585007168469038,0.2694778747109523,0.9789513877288022,0.4226202434488763,0.18064396378047934,43235,222406,1764,82042,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.2,0.7177052955900657,0.6222118111793129,0.3655146560136444,0.27131510438257583,0.9761950218361454,0.4246161192294617,0.18502142649476763,45917,219724,1995,81811,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.21,0.7177052955900657,0.6222118111793129,0.3742999653738621,0.2736538545467974,0.9726391905114192,0.42713303202986835,0.19040070925890934,49285,216356,2293,81513,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.22,0.7177052955900657,0.6222118111793129,0.3832169112912688,0.27607578884382233,0.9689401713481135,0.42971484816332794,0.19578181860526558,52711,212930,2603,81203,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.23,0.7177052955900657,0.6222118111793129,0.3906801317510238,0.27807054633707,0.9652172875450445,0.4317560120307333,0.1996664923679684,55631,210010,2915,80891,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.24,0.7177052955900657,0.6222118111793129,0.3983007437465481,0.2801820343626364,0.9616375915805551,0.4339335135309764,0.20389971891823844,58594,207047,3215,80591,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.25,0.7177052955900657,0.6222118111793129,0.40683708831382154,0.28258657059645936,0.9574851442617474,0.4363819286772803,0.20854534241506278,61925,203716,3563,80243,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.26,0.7177052955900657,0.6222118111793129,0.4173107796032016,0.285589529028171,0.9521275326348949,0.43938580478900463,0.21406760743933684,66034,199607,4012,79794,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.27,0.7177052955900657,0.6222118111793129,0.42494283825587287,0.28770360490319025,0.9471636875641363,0.441346870239194,0.21719100412493966,69117,196524,4428,79378,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.28,0.7177052955900657,0.6222118111793129,0.43321877137305514,0.29014554297595346,0.9424623535307735,0.4436954396845192,0.22127243153919315,72403,193238,4822,78984,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.29,0.7177052955900657,0.6222118111793129,0.4407506717756913,0.2923775157174212,0.9378087487769372,0.4457767089411711,0.22472337317818716,75425,190216,5212,78594,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.3,0.7177052955900657,0.6222118111793129,0.44914107146434223,0.29492762373398135,0.9325943249886643,0.4481350878701872,0.22862079586765602,78794,186847,5649,78157,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.31,0.7177052955900657,0.6222118111793129,0.45723958139574816,0.2974560510626574,0.9275350213588526,0.4504537394388234,0.23243797489658963,82048,183593,6073,77733,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.32,0.7177052955900657,0.6222118111793129,0.46455971864116735,0.29963613229578023,0.9216762522969716,0.4522471252254151,0.23491904879566047,85097,180544,6564,77242,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.33,0.7177052955900657,0.6222118111793129,0.4719485358294677,0.3019054212459976,0.9158174832350906,0.45411031038848854,0.23756610365804148,88170,177471,7055,76751,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.34,0.7177052955900657,0.6222118111793129,0.4794832978963906,0.3042808513015751,0.9098035940147483,0.4560404561182103,0.24033199264824784,91307,174334,7559,76247,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.35,0.7177052955900657,0.6222118111793129,0.4879280692064891,0.30695118585737247,0.9024890819273083,0.4580963629205657,0.24311130512519827,94871,170770,8172,75634,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.36,0.7177052955900657,0.6222118111793129,0.4958033693235312,0.3094106385436781,0.8948046679235377,0.4598215654413343,0.24518386047691,98267,167374,8816,74990,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.37,0.7177052955900657,0.6222118111793129,0.5041136424121541,0.31202470484433426,0.886153736009355,0.46153702736967706,0.2471250143184578,101896,163745,9541,74265,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.38,0.7177052955900657,0.6222118111793129,0.5140493408156316,0.31524634393634754,0.8755697682743478,0.4635815143570142,0.24948628454644783,106255,159386,10428,73378,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.39,0.7177052955900657,0.6222118111793129,0.5238104776976193,0.3185518771555985,0.865140920697802,0.46564829116505196,0.25200759078392937,110540,155101,11302,72504,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.4,0.7177052955900657,0.6222118111793129,0.5351398066087275,0.3226685188024859,0.853685893611436,0.4683241035308904,0.2556429392302354,115459,150182,12262,71544,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.41,0.7177052955900657,0.6222118111793129,0.545347363119443,0.32641339283649734,0.8422070018853065,0.4704823674097873,0.25837412938431364,119988,145653,13224,70582,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.42,0.7177052955900657,0.6222118111793129,0.5555320263158647,0.3304181211109425,0.8313008615134955,0.47288005593000604,0.26169646895349125,124461,141180,14138,69668,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.43,0.7177052955900657,0.6222118111793129,0.56553068133365,0.334226970958402,0.8181753096437009,0.47458471760797344,0.26363089297300335,129055,136586,15238,68568,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.44,0.7177052955900657,0.6222118111793129,0.5742787890581404,0.33767298206334057,0.8062191251223063,0.47598617818308625,0.2652511095855002,133114,132527,16240,67566,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.45,0.7177052955900657,0.6222118111793129,0.583307339882729,0.3414189827168603,0.793893038684581,0.47749014992213235,0.26715963247402186,137302,128339,17273,66533,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.46,0.7177052955900657,0.6222118111793129,0.5918322377928555,0.34502816137071324,0.781399899768513,0.4786900824180845,0.26865301197633895,141328,124313,18320,65486,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.47,0.7177052955900657,0.6222118111793129,0.5994900514241073,0.34841834172889097,0.7700283989213182,0.47975823628462994,0.27009405924673857,144957,120684,19273,64533,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.48,0.7177052955900657,0.6222118111793129,0.6064438956408268,0.3513802128000974,0.7577739064028829,0.480125803756724,0.270414923765491,148414,117227,20300,63506,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.49,0.7177052955900657,0.6222118111793129,0.6131287434145951,0.3543533840127435,0.7458773834808964,0.48045225184371027,0.2708229260888232,151747,113894,21297,62509,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.5,0.7177052955900657,0.6222118111793129,0.6200711409741677,0.35753734774284035,0.7330740042479059,0.4806502971009674,0.2711622839132506,155246,110395,22370,61436,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.51,0.7177052955900657,0.6222118111793129,0.627451373169608,0.3611210923463888,0.7195188888623726,0.48088808785179393,0.2717592768804363,158961,106680,23506,60300,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.52,0.7177052955900657,0.6222118111793129,0.6350862934865659,0.3649229932510939,0.7045557597308069,0.4808110418956883,0.27206724092073786,162883,102758,24760,59046,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.53,0.7177052955900657,0.6222118111793129,0.6415135914745298,0.36809894010917005,0.6904040283511921,0.48018191475235694,0.2716421772906504,166315,99326,25946,57860,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.54,0.7177052955900657,0.6222118111793129,0.6487278471413405,0.37204381624512917,0.6755840870582058,0.47983999118595516,0.2719848793831291,170078,95563,27188,56618,54.76021489998675,300000,349447
