model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,backend,fit_seconds,run_seconds
HistGradientBoosting,0.37,0.7189325495423485,0.4934605445863295,0.7439783429246781,0.45500794912559617,0.3415029950122903,0.39016809128461005,0.23611967899716338,231361,34280,55186,28620,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.38,0.7189325495423485,0.4934605445863295,0.747252086868681,0.46144389044464174,0.3224590124812066,0.3796305401418838,0.23289485246843655,234101,31540,56782,27024,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.39,0.7189325495423485,0.4934605445863295,0.750505799162677,0.4685539858916373,0.30038422070018855,0.3660794136679924,0.22833582030155114,237088,28553,58632,25174,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.4,0.7189325495423485,0.4934605445863295,0.7529210438206653,0.47428640983506787,0.27896570651266017,0.351302413992592,0.22253012326312402,239727,25914,60427,23379,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.41,0.7189325495423485,0.4934605445863295,0.7554936800144227,0.4814756103084379,0.2536930530033649,0.3322965834140852,0.215245397858835,242744,22897,62545,21261,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.42,0.7189325495423485,0.4934605445863295,0.7571906469364453,0.4870720642554352,0.2344462210342935,0.31653308631036287,0.209187355210636,244950,20691,64158,19648,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.43,0.7189325495423485,0.4934605445863295,0.7590707603728176,0.49456031567080044,0.20937641696298595,0.2942004929329511,0.2005560593053649,247708,17933,66259,17547,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.44,0.7189325495423485,0.4934605445863295,0.7599521529731261,0.49879644488334773,0.19286208624680812,0.2781688322863781,0.1939049618749739,249400,16241,67643,16163,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.45,0.7189325495423485,0.4934605445863295,0.7612055619307077,0.5065010112684195,0.16733885401999857,0.2515651066425099,0.18321506869502374,251977,13664,69782,14024,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.46,0.7189325495423485,0.4934605445863295,0.7623616743025409,0.5161276703537955,0.1458726105529437,0.2274587876307074,0.17449306736752854,254180,11461,71581,12225,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.47,0.7189325495423485,0.4934605445863295,0.7631801102885416,0.5257226849583537,0.12803379232990478,0.2059184770092884,0.16676562314707774,255961,9680,73076,10730,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.48,0.7189325495423485,0.4934605445863295,0.7632545135599962,0.5305647085558459,0.11143593537455553,0.1841866519406753,0.15682470118029776,257378,8263,74467,9339,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.49,0.7189325495423485,0.4934605445863295,0.7632917151957235,0.5353410787304472,0.09841777438369567,0.1662685333575237,0.14864067169784867,258482,7159,75558,8248,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.5,0.7189325495423485,0.4934605445863295,0.7632115885956955,0.5394218622278368,0.08661671002076224,0.14926539382910253,0.14042516526032248,259443,6198,76547,7259,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.51,0.7189325495423485,0.4934605445863295,0.7630513353956394,0.5433675671010615,0.07512588597475121,0.13200129988573586,0.13165381344264726,260350,5291,77510,6296,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.52,0.7189325495423485,0.4934605445863295,0.762853880559856,0.5453400503778337,0.06716702861370308,0.11960309365969743,0.12483356004158366,260948,4693,78177,5629,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.53,0.7189325495423485,0.4934605445863295,0.7627107973455202,0.5507794589637781,0.05733479703123881,0.10385820814870853,0.11653345035326446,261722,3919,79001,4805,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.54,0.7189325495423485,0.4934605445863295,0.7626735957097929,0.5639560439560439,0.04592749922439921,0.08493782480608181,0.10714231500913116,262665,2976,79957,3849,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.55,0.7189325495423485,0.4934605445863295,0.7623645359668276,0.5684625022373366,0.037897047944061284,0.07105701788730662,0.09810978267622124,263230,2411,80630,3176,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.56,0.7189325495423485,0.4934605445863295,0.7618379897380718,0.5674483399117716,0.02916258979070711,0.055474220603089215,0.08571588423989117,263778,1863,81362,2444,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.57,0.7189325495423485,0.4934605445863295,0.7615518233094003,0.5763734518894887,0.021657160585160967,0.04174573055028463,0.07516326046335389,264307,1334,81991,1815,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.58,0.7189325495423485,0.4934605445863295,0.7609766287877704,0.5790960451977402,0.01223062787867217,0.023955314574179678,0.05669465546181268,264896,745,82781,1025,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.59,0.7189325495423485,0.4934605445863295,0.7607963439377073,0.5875706214689266,0.00868672887382765,0.017120348051031808,0.048581912919574706,265130,511,83078,728,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.6,0.7189325495423485,0.4934605445863295,0.7605130391733225,0.5916149068322981,0.004546213874901559,0.009023090586145649,0.03540241246640413,265378,263,83425,381,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.61,0.7189325495423485,0.4934605445863295,0.7602869676946719,0.568904593639576,0.0019211035009426532,0.0038292761241066012,0.021941995705874223,265519,122,83645,161,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.62,0.7189325495423485,0.4934605445863295,0.7602325960732242,0.5746268656716418,0.0009187886308856168,0.0018346437931856087,0.01535781995087335,265584,57,83729,77,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.63,0.7189325495423485,0.4934605445863295,0.7602125644232173,0.5844155844155844,0.0005369543946734124,0.0010729229998927077,0.011981263743188548,265609,32,83761,45,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.64,0.7189325495423485,0.4934605445863295,0.7601925327732102,0.5681818181818182,0.00029830799704078467,0.0005963029218843172,0.008629899712476012,265622,19,83781,25,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.65,0.7189325495423485,0.4934605445863295,0.7601725011232032,0.47058823529411764,9.545855905305109e-05,0.00019087839853023633,0.0037697094245452848,265632,9,83798,8,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.66,0.7189325495423485,0.4934605445863295,0.76017536278749,0.5,8.35262391714197e-05,0.00016702457647339538,0.003856953785632375,265634,7,83799,7,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.67,0.7189325495423485,0.4934605445863295,0.7601782244517766,0.5555555555555556,5.9661599408156936e-05,0.00011931038596909861,0.0037527489221968902,265637,4,83801,5,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.68,0.7189325495423485,0.4934605445863295,0.7601725011232032,0.4,2.3864639763262773e-05,4.772643209125294e-05,0.001419022802301492,265638,3,83804,2,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.69,0.7189325495423485,0.4934605445863295,0.7601696394589165,0.0,0.0,0.0,-0.0013437410526326546,265639,2,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.7,0.7189325495423485,0.4934605445863295,0.7601725011232032,0.0,0.0,0.0,-0.0009501670509389331,265640,1,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.71,0.7189325495423485,0.4934605445863295,0.76017536278749,0.0,0.0,0.0,0.0,265641,0,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.72,0.7189325495423485,0.4934605445863295,0.76017536278749,0.0,0.0,0.0,0.0,265641,0,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.73,0.7189325495423485,0.4934605445863295,0.76017536278749,0.0,0.0,0.0,0.0,265641,0,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.74,0.7189325495423485,0.4934605445863295,0.76017536278749,0.0,0.0,0.0,0.0,265641,0,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.75,0.7189325495423485,0.4934605445863295,0.76017536278749,0.0,0.0,0.0,0.0,265641,0,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.76,0.7189325495423485,0.4934605445863295,0.76017536278749,0.0,0.0,0.0,0.0,265641,0,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.77,0.7189325495423485,0.4934605445863295,0.76017536278749,0.0,0.0,0.0,0.0,265641,0,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.78,0.7189325495423485,0.4934605445863295,0.76017536278749,0.0,0.0,0.0,0.0,265641,0,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.79,0.7189325495423485,0.4934605445863295,0.76017536278749,0.0,0.0,0.0,0.0,265641,0,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
HistGradientBoosting,0.8,0.7189325495423485,0.4934605445863295,0.76017536278749,0.0,0.0,0.0,0.0,265641,0,83806,0,hist_gradient_boosting,32.48742059999495,34.939936000009766
