model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp
Logistic Regression,0.36,0.7062384128155927,0.6341796878072375,0.47672,0.30120346733245434,0.895421566174631,0.45077459171249845,0.22656386677049734,26198,49820,2508,21474
Logistic Regression,0.37,0.7062384128155927,0.6341796878072375,0.49012,0.3053817993139431,0.8834959552998082,0.45387943961269867,0.2311452339637394,27824,48194,2794,21188
Logistic Regression,0.38,0.7062384128155927,0.6341796878072375,0.5027,0.3093362163443026,0.870944875323159,0.4565264906452177,0.23475411687620995,29383,46635,3095,20887
Logistic Regression,0.39,0.7062384128155927,0.6341796878072375,0.51401,0.3128753211608921,0.8581436077057794,0.4585612584810437,0.23720777927443223,30821,45197,3402,20580
Logistic Regression,0.4,0.7062384128155927,0.6341796878072375,0.52743,0.31757974762912455,0.8448002668668168,0.4616243435068412,0.24174804374388847,32483,43535,3722,20260
Logistic Regression,0.41,0.7062384128155927,0.6341796878072375,0.54108,0.3222744970798183,0.8283295805187224,0.46401625750391257,0.2447966351365243,34243,41775,4117,19865
Logistic Regression,0.42,0.7062384128155927,0.6341796878072375,0.55353,0.3267144079024603,0.8123175715119673,0.46600246384958555,0.2473243509784979,35872,40146,4501,19481
Logistic Regression,0.43,0.7062384128155927,0.6341796878072375,0.56647,0.3313130257589216,0.7932199149362021,0.46740131942652857,0.2488222384134485,37624,38394,4959,19023
Logistic Regression,0.44,0.7062384128155927,0.6341796878072375,0.57895,0.33614220357678887,0.7751230089233592,0.4689277650946609,0.25092450677511857,39306,36712,5393,18589
Logistic Regression,0.45,0.7062384128155927,0.6341796878072375,0.59079,0.3411541851872691,0.7584855308147778,0.47062780559113077,0.25364481161227415,40889,35129,5792,18190
Logistic Regression,0.46,0.7062384128155927,0.6341796878072375,0.60184,0.3457025920873124,0.7396380618797431,0.471178876905913,0.2545685598646974,42446,33572,6244,17738
Logistic Regression,0.47,0.7062384128155927,0.6341796878072375,0.61377,0.35120632533181567,0.7204987073638562,0.47222639756220874,0.2567278387991183,44098,31920,6703,17279
Logistic Regression,0.48,0.7062384128155927,0.6341796878072375,0.62529,0.3567651368742965,0.7004836961054124,0.4727518327259424,0.2583750452375317,45730,30288,7183,16799
Logistic Regression,0.49,0.7062384128155927,0.6341796878072375,0.63587,0.361634870105296,0.6773830372779585,0.4715324441606316,0.25765054884737826,47342,28676,7737,16245
Logistic Regression,0.5,0.7062384128155927,0.6341796878072375,0.64498,0.36630767802432457,0.6580768910015845,0.47064086124116544,0.25774373902990205,48716,27302,8200,15782
Logistic Regression,0.51,0.7062384128155927,0.6341796878072375,0.65356,0.3711385061638869,0.6402301726294721,0.4698861549761293,0.258349620581675,50002,26016,8628,15354
Logistic Regression,0.52,0.7062384128155927,0.6341796878072375,0.66167,0.3756029801742644,0.6201317654907847,0.4678421441716344,0.2574708973879992,51295,24723,9110,14872
Logistic Regression,0.53,0.7062384128155927,0.6341796878072375,0.66967,0.3802302500992457,0.599074305729297,0.46519986400505126,0.25627724962253606,52600,23418,9615,14367
Logistic Regression,0.54,0.7062384128155927,0.6341796878072375,0.67856,0.38620266577435725,0.5775164706863481,0.46287012900207203,0.2563588290978422,54006,22012,10132,13850
Logistic Regression,0.55,0.7062384128155927,0.6341796878072375,0.68672,0.3921102103160616,0.5566258026853473,0.46010409126943097,0.2562501945082974,55323,20695,10633,13349
Logistic Regression,0.56,0.7062384128155927,0.6341796878072375,0.69449,0.3976568098962391,0.5321491118338754,0.4551761034329024,0.2541296049880628,56687,19331,11220,12762
Logistic Regression,0.57,0.7062384128155927,0.6341796878072375,0.70266,0.4045723007498839,0.5084229839045951,0.4505912786400591,0.2534353994119755,58073,17945,11789,12193
Logistic Regression,0.58,0.7062384128155927,0.6341796878072375,0.70919,0.41004833644991706,0.4846134600950713,0.44422360248447207,0.2507405265020833,59297,16721,12360,11622
Logistic Regression,0.59,0.7062384128155927,0.6341796878072375,0.71496,0.41521673916304186,0.4617212909682262,0.4372359328726555,0.2477245535559017,60423,15595,12909,11073
Logistic Regression,0.6,0.7062384128155927,0.6341796878072375,0.71989,0.419833658323053,0.43991326828454674,0.4296389810836676,0.24425042341287412,61439,14579,13432,10550
Logistic Regression,0.61,0.7062384128155927,0.6341796878072375,0.72442,0.42453785768549,0.4194395796847636,0.42197331990938836,0.24107257792518005,62383,13635,13923,10059
Logistic Regression,0.62,0.7062384128155927,0.6341796878072375,0.72898,0.4303509241896598,0.4019264448336252,0.41565329883570507,0.23973570370745823,63259,12759,14343,9639
Logistic Regression,0.63,0.7062384128155927,0.6341796878072375,0.7333,0.4361095265259555,0.38253690267700774,0.4075703052112488,0.23728113966785805,64156,11862,14808,9174
Logistic Regression,0.64,0.7062384128155927,0.6341796878072375,0.73813,0.44252723765834334,0.35397381369360353,0.393327927719217,0.23129978940935675,65324,10694,15493,8489
Logistic Regression,0.65,0.7062384128155927,0.6341796878072375,0.74231,0.44947695787390446,0.3314569260278542,0.3815489476084191,0.22759955139490362,66282,9736,16033,7949
Logistic Regression,0.66,0.7062384128155927,0.6341796878072375,0.74583,0.4557563051119196,0.30818947543991326,0.3677205900644295,0.22250104332282358,67192,8826,16591,7391
Logistic Regression,0.67,0.7062384128155927,0.6341796878072375,0.74935,0.46330057607590647,0.28504711867233756,0.35294421354260785,0.21775794658946318,68099,7919,17146,6836
Logistic Regression,0.68,0.7062384128155927,0.6341796878072375,0.7523,0.4709482377230497,0.2663247435576683,0.3402407841466013,0.2144181794138901,68843,7175,17595,6387
Logistic Regression,0.69,0.7062384128155927,0.6341796878072375,0.75422,0.47637170948303204,0.25052122425152196,0.32835984041099636,0.2104705097746725,69414,6604,17974,6008
Logistic Regression,0.7,0.7062384128155927,0.6341796878072375,0.75545,0.4797915064513373,0.2341339337836711,0.31469805240297044,0.20461354857245884,69930,6088,18367,5615
Logistic Regression,0.71,0.7062384128155927,0.6341796878072375,0.75664,0.483803074670571,0.22045700942373447,0.3028931538241192,0.2001513492903758,70377,5641,18695,5287
Logistic Regression,0.72,0.7062384128155927,0.6341796878072375,0.75869,0.4924064825196208,0.20144274872821283,0.2859172017873524,0.1951142721245585,71038,4980,19151,4831
Logistic Regression,0.73,0.7062384128155927,0.6341796878072375,0.75981,0.49790842283776143,0.18363772829622216,0.26831571572181434,0.18828957519701894,71577,4441,19578,4404
Logistic Regression,0.74,0.7062384128155927,0.6341796878072375,0.76079,0.5038700672503489,0.16558252022350095,0.24925462134764462,0.1808845275098511,72108,3910,20011,3971
Logistic Regression,0.75,0.7062384128155927,0.6341796878072375,0.76077,0.5041814316087881,0.14831957301309315,0.22921029738698973,0.17058179073784205,72520,3498,20425,3557
Logistic Regression,0.76,0.7062384128155927,0.6341796878072375,0.76117,0.5081508315494813,0.12867984321574513,0.20535684578273167,0.15979974149816362,73031,2987,20896,3086
Logistic Regression,0.77,0.7062384128155927,0.6341796878072375,0.762,0.5175879396984925,0.11166708364606788,0.18370146796542736,0.15196049342619478,73522,2496,21304,2678
Logistic Regression,0.78,0.7062384128155927,0.6341796878072375,0.76208,0.5208974923009239,0.0987407222083229,0.16601233875490745,0.14366229527503474,73840,2178,21614,2368
Logistic Regression,0.79,0.7062384128155927,0.6341796878072375,0.76218,0.5243783520234032,0.08969226920190143,0.15318330722119355,0.13783625699756677,74067,1951,21831,2151
Logistic Regression,0.8,0.7062384128155927,0.6341796878072375,0.76208,0.5263742365352582,0.07905929447085314,0.13747099767981438,0.12973099741855615,74312,1706,22086,1896
