model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp
Gradient Boosting,0.21,0.7134517299767646,0.4969845311191343,0.61138,0.35241023606427296,0.7407639062630306,0.47760511882998175,0.26586496157264666,43373,32645,6217,17765
Gradient Boosting,0.22,0.7134517299767646,0.4969845311191343,0.62124,0.3571692915004729,0.7243766157951798,0.4784356926466538,0.2674523657728415,44752,31266,6610,17372
Gradient Boosting,0.23,0.7134517299767646,0.4969845311191343,0.62959,0.36117784628468164,0.7083646067884246,0.47842065984200965,0.26784468164407244,45971,30047,6994,16988
Gradient Boosting,0.24,0.7134517299767646,0.4969845311191343,0.63573,0.3637597705427714,0.6927695771828871,0.47703682434857514,0.2661531904297486,46959,29059,7368,16614
Gradient Boosting,0.25,0.7134517299767646,0.4969845311191343,0.64259,0.3671989700268787,0.6778834125594195,0.4763607061753718,0.26590925768229307,48002,28016,7725,16257
Gradient Boosting,0.26,0.7134517299767646,0.4969845311191343,0.65027,0.37163945530563147,0.6634559252772912,0.4764129051575717,0.2671269878671474,49116,26902,8071,15911
Gradient Boosting,0.27,0.7134517299767646,0.4969845311191343,0.6577,0.37575772270985885,0.6461929780668835,0.4751931804243837,0.26673218811428373,50273,25745,8485,15497
Gradient Boosting,0.28,0.7134517299767646,0.4969845311191343,0.66524,0.3802653483327448,0.6286381452756233,0.47387942415288864,0.2665956750626433,51448,24570,8906,15076
Gradient Boosting,0.29,0.7134517299767646,0.4969845311191343,0.67237,0.38487558014526574,0.6120423651071637,0.4725768283455947,0.2667419343709441,52559,23459,9304,14678
Gradient Boosting,0.3,0.7134517299767646,0.4969845311191343,0.68077,0.39016901330530274,0.5881494454173963,0.4691267689953935,0.26496149833837446,53972,22046,9877,14105
Gradient Boosting,0.31,0.7134517299767646,0.4969845311191343,0.6893,0.39516033605490475,0.5570010841464431,0.462326515072855,0.2599869171089287,55572,20446,10624,13358
Gradient Boosting,0.32,0.7134517299767646,0.4969845311191343,0.69875,0.40157026117609357,0.5225168876657493,0.45412868972765325,0.2551395161395922,57344,18674,11451,12531
Gradient Boosting,0.33,0.7134517299767646,0.4969845311191343,0.70997,0.4106170114287749,0.4809023434242348,0.44298911060323803,0.24999327273420902,59464,16554,12449,11533
Gradient Boosting,0.34,0.7134517299767646,0.4969845311191343,0.71984,0.4198075699745547,0.4402885497456426,0.4298042088981154,0.24436429888852496,61425,14593,13423,10559
Gradient Boosting,0.35,0.7134517299767646,0.4969845311191343,0.72876,0.43068913791582103,0.4070552914686015,0.4185388441090722,0.242012054304743,63114,12904,14220,9762
Gradient Boosting,0.36,0.7134517299767646,0.4969845311191343,0.73556,0.43992191312835527,0.3758652322575265,0.4053786652275589,0.2379087550238651,64542,11476,14968,9014
Gradient Boosting,0.37,0.7134517299767646,0.4969845311191343,0.74086,0.448606086401362,0.35159703110666335,0.3942213287203703,0.23525813055697342,65654,10364,15550,8432
Gradient Boosting,0.38,0.7134517299767646,0.4969845311191343,0.7451,0.45605548432218207,0.32628638145275624,0.38040836169178416,0.23048044749819438,66685,9333,16157,7825
Gradient Boosting,0.39,0.7134517299767646,0.4969845311191343,0.7481,0.4621980222806359,0.3079392877991827,0.36961961961961964,0.22712013907831144,67425,8593,16597,7385
Gradient Boosting,0.4,0.7134517299767646,0.4969845311191343,0.75005,0.46650796799576805,0.2941789675590026,0.36082342411456336,0.2241049845140452,67950,8068,16927,7055
Gradient Boosting,0.41,0.7134517299767646,0.4969845311191343,0.75146,0.4691611260432876,0.27658243682762074,0.34800629590766,0.21795885111249946,68513,7505,17349,6633
Gradient Boosting,0.42,0.7134517299767646,0.4969845311191343,0.75409,0.4768388225450673,0.2614043866233008,0.3376875218831641,0.21597467879093674,69140,6878,17713,6269
Gradient Boosting,0.43,0.7134517299767646,0.4969845311191343,0.75624,0.4835091243931023,0.24084730214327413,0.3215319527944778,0.21021898703203212,69848,6170,18206,5776
Gradient Boosting,0.44,0.7134517299767646,0.4969845311191343,0.75707,0.48608999016012167,0.22658660662163288,0.309092460396462,0.2046228941325767,70273,5745,18548,5434
Gradient Boosting,0.45,0.7134517299767646,0.4969845311191343,0.7582,0.4904366306027821,0.2117004419981653,0.2957418302557232,0.19945769549809278,70743,5275,18905,5077
Gradient Boosting,0.46,0.7134517299767646,0.4969845311191343,0.75961,0.49696711716505265,0.1947293803686098,0.27981665118787263,0.19395637796683657,71291,4727,19312,4670
Gradient Boosting,0.47,0.7134517299767646,0.4969845311191343,0.76104,0.5052362396492938,0.1730047535651739,0.2577498912840902,0.1859336906388833,71955,4063,19833,4149
Gradient Boosting,0.48,0.7134517299767646,0.4969845311191343,0.76176,0.5116074052306788,0.1451922275039613,0.2261920228660517,0.17202057877167398,72694,3324,20500,3482
Gradient Boosting,0.49,0.7134517299767646,0.4969845311191343,0.76228,0.5186368477103301,0.12184138103577684,0.1973257698541329,0.15955805801837042,73306,2712,21060,2922
